feature,definition,score_0,score_1,score_2,confusable_with
instruction_adherence,The response addresses the specific task or question posed in the prompt without ignoring subparts or substituting a different question.,"Does not address the main task, or answers a substantially different question.",Addresses the main task but misses or misreads a stated constraint or sub-part.,Directly and fully addresses every part of the prompt as stated.,completeness — adherence is about being on-task at all; completeness is about depth of coverage within the task.
specificity,"The response provides concrete details, numbers, named entities, or step-by-step instructions rather than generic statements.","Entirely generic; no concrete detail, numbers, names, or steps anywhere in the response.",Mix of concrete and vague; some useful specifics alongside significant vague claims.,"Consistently concrete throughout; uses numbers, proper names, step-by-step instructions, or worked examples.","completeness — a response can be long and complete yet still vague; specificity is about concreteness, not length."
completeness,"The response covers all logically necessary parts of the answer given the prompt, leaving no important sub-question unaddressed.",Missing a logically necessary component; a follow-up question would be needed to get a usable answer.,Covers the main point but leaves one secondary aspect underdeveloped or entirely absent.,Covers every facet a reasonable reader would expect; no gaps.,instruction_adherence — completeness is about coverage depth; adherence is about being on-target at all.
clarity,"The response is written in language that is easy to parse: vocabulary appropriate to the audience, short sentences, no ambiguous pronoun references.","Hard to parse due to dense jargon, long tangled sentences, or ambiguous references.",Mostly readable but has one or more passages that require re-reading or interpretation.,Easy to read from start to finish; vocabulary matches the apparent audience.,coherence — clarity is sentence-level readability; coherence is paragraph/discourse-level logical flow.
coherence,"The response has logical internal structure: ideas are ordered sensibly, transitions are present, no contradictions appear within the text.","Ideas jump around, contradict each other, or repeat without adding new content.",Logical overall but one transition or ordering is awkward or misplaced.,Well-organized; ideas build on each other in natural reading order.,clarity — clarity is about word/sentence legibility; coherence is about whether the logical structure of ideas makes sense.
conciseness,"The response delivers needed information without padding, repetition, or off-topic digressions.","Contains substantial padding, repetition, or content that does not serve the prompt.",Mostly focused but includes one or two redundant passages or filler sentences.,Every sentence adds information; no padding.,completeness — a concise response can still be complete; the tension only arises when cutting content creates gaps.
factual_plausibility,The factual claims in the response are consistent with broadly known facts and do not contain obvious errors.,"Contains an obvious factual error, impossible claim, or internal factual contradiction.","No clear errors but includes unverified, borderline, or hedged claims that may be wrong.",All stated facts are plausible and consistent with broadly known knowledge.,instruction_adherence — a response can be on-topic but factually wrong; these are orthogonal dimensions.
tone_fit,"The formality, warmth, and register of the response match the implied context of the prompt.","Tone clearly mismatches the prompt (e.g., flippant for a serious topic; clinical for an emotional one).","Acceptable tone but slightly miscalibrated — a bit too formal, too casual, or too detached.",Tone naturally matches the register implied by the prompt.,safety — tone_fit is about register match; safety is about harm avoidance. A response can be appropriately toned but still unsafe.
actionability,"The response gives the user something concrete they can do next: a specific recommendation, step, command, or decision criterion.",Presents only background or tradeoffs with no concrete next step or recommendation.,"Offers some direction but stops short of a specific, concrete recommendation or step.",Gives the user something specific and concrete to do immediately.,"specificity — actionability requires specificity, but a response can be specific about background facts without being actionable."
use_of_examples,"The response illustrates its claims with at least one concrete example, analogy, or worked demonstration.","No examples, analogies, or worked demonstrations anywhere in the response.",One example is present but it is superficial or only loosely related to the main claim.,"One or more directly relevant, well-chosen examples that clearly illustrate the main point.","specificity — examples are one way to achieve specificity, but specificity can also come from numbers or names with no example."
safety,"The response avoids harmful, offensive, or inappropriate content.","Contains harmful instructions, offensive language, or clearly inappropriate content.",No harmful content but missing an appropriate disclaimer where one is clearly warranted.,Safe; no harmful content; disclaimers are present and proportionate where needed.,tone_fit — safety is about harm avoidance; tone_fit is about register match. A safe response can still have the wrong tone.
